FilePath,FileName,PredictedCategory,Date,Score_FakeIDs,Score_DrugPayments,Score_LocationScreenshots,Score_Conversations,Score_BackgroundDocs
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6970.PNG,IMG_6970.PNG,Conversations,2025-08-13,0.1436,0.2262,0.1823,0.2799,0.1963
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6971.PNG,IMG_6971.PNG,Conversations,2025-08-13,0.1665,0.2261,0.1865,0.3020,0.2028
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6972.PNG,IMG_6972.PNG,Conversations,2025-08-13,0.1407,0.2173,0.1754,0.2774,0.1993
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6973.PNG,IMG_6973.PNG,Conversations,2025-08-13,0.1629,0.2364,0.1881,0.2804,0.2165
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6974.PNG,IMG_6974.PNG,Conversations,2025-08-13,0.1766,0.2306,0.2240,0.3046,0.2246
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6975.PNG,IMG_6975.PNG,Conversations,2025-08-13,0.1663,0.2508,0.2309,0.3019,0.2089
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6976.PNG,IMG_6976.PNG,Conversations,2025-08-13,0.1638,0.2419,0.2069,0.3013,0.2312
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6977.PNG,IMG_6977.PNG,Conversations,2025-08-13,0.1597,0.2376,0.2028,0.3012,0.2069
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6978.PNG,IMG_6978.PNG,Conversations,2025-08-13,0.1510,0.2216,0.1786,0.2766,0.1930
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6979.PNG,IMG_6979.PNG,Conversations,2025-08-13,0.1890,0.1925,0.2084,0.2321,0.2091
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6980.PNG,IMG_6980.PNG,Conversations,2025-08-13,0.1738,0.2092,0.1869,0.2314,0.2032
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6981.PNG,IMG_6981.PNG,Conversations,2025-08-13,0.1664,0.1978,0.1712,0.2299,0.2065
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6982.PNG,IMG_6982.PNG,Conversations,2025-08-13,0.1755,0.1962,0.1796,0.2199,0.2003
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6983.PNG,IMG_6983.PNG,Conversations,2025-08-13,0.1856,0.1977,0.1864,0.2318,0.2000
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6984.PNG,IMG_6984.PNG,Conversations,2025-08-13,0.1876,0.2070,0.2098,0.2287,0.2099
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6985.PNG,IMG_6985.PNG,Conversations,2025-08-13,0.1665,0.2120,0.1922,0.2411,0.2022
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6986.PNG,IMG_6986.PNG,Conversations,2025-08-13,0.2054,0.2444,0.2208,0.2565,0.2061
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6993.PNG,IMG_6993.PNG,Conversations,2025-08-13,0.1810,0.2490,0.2198,0.2853,0.2211
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7005.PNG,IMG_7005.PNG,Conversations,2025-08-13,0.1505,0.2403,0.1893,0.2916,0.1954
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7082.PNG,IMG_7082.PNG,Conversations,2025-08-13,0.1715,0.2370,0.2005,0.2916,0.2199
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7083.PNG,IMG_7083.PNG,Conversations,2025-08-13,0.1679,0.2450,0.2097,0.2922,0.2313
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7084.PNG,IMG_7084.PNG,Conversations,2025-08-13,0.1634,0.2474,0.2062,0.2819,0.2293
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7085.PNG,IMG_7085.PNG,Conversations,2025-08-13,0.1716,0.2370,0.2005,0.2917,0.2199
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7086.PNG,IMG_7086.PNG,Conversations,2025-08-13,0.1627,0.2510,0.2065,0.2829,0.2322
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7123.PNG,IMG_7123.PNG,Conversations,2025-08-13,0.1476,0.2199,0.1937,0.2905,0.1971
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7125.PNG,IMG_7125.PNG,Conversations,2025-08-13,0.1592,0.2021,0.1810,0.2337,0.2071
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7126.PNG,IMG_7126.PNG,Conversations,2025-08-13,0.1845,0.2203,0.1748,0.2554,0.2275
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7187.PNG,IMG_7187.PNG,Conversations,2025-08-13,0.1657,0.2243,0.1834,0.2724,0.2249
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7188.PNG,IMG_7188.PNG,Conversations,2025-08-13,0.1590,0.2169,0.1816,0.2825,0.2085
